Unnamed: 0,Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image
1.0,يقولون الاولين,3,5.0,0.00905,Walid Al-Anazi,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/1/e/7/6/1e761c6ed4a5cad1a91dce3300843b80c41fba37_643542.jpg"
2.0,صفحة واحدة في المرة رفيق مبدع يومي,3,4.5,0.00459,Adam J. Kertz.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/462372.jpg"
3.0,المعاصر 9 تأسيس كمي ورقمي ومحوسب مع بنك المحوسب الجديد 80 اصدار,4,4.7,0.0036,Imad Al-Zarri,Paperback,Education & Reference,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/f/e/8/3/fe8352d1794102cd8bee79a01b577b1f82c2036c_641633.jpg"
4.0,الاب الغني الاب الفقير ما يعلمه الاثرياء ولا يعلمه الفقراء,4,5.0,0.00298,Robert T. Kiusaki,Paperback,Business & Finance,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/479220.jpg"
5.0,مصحف القيام مقاس 25×35,4,5.0,0.00248,Fatima.,غلاف مقوى فني,Religion & Spirituality,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/3/2/e/932ecff3798b1e39d71c4dc3b859cdf97c75d63f_584370.jpg"
6.0,ابق قويا 365 يوما في السنة,4,4.8,0.00211,Demi Lovato.,غلاف مقوى,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/419110.jpg"
7.0,واختفي كل شيء,2,4.9,0.01128,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/3/d/a/d3da9f41481911108f522382e7c43a991179e098_296955.jpg"
8.0,المعاصر اللفظي 9 ورقي ومحوسب 3 أجزاء,4,4.9,0.00186,Osman Abdullah,Paperback,Education & Reference,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/f/5/8/5f58c45a3a2c46a467f5b9b8aa024cf2e43e4f60_641634.jpg"
9.0,من الذي قتل السيد روجر أكرويد,2,5.0,0.00161,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/9/296952.jpg"
10.0,ليلة لا تنتهي,2,4.3,0.00236,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/411827.jpg"
